===========================================================================
会议逐字稿
===========================================================================
会议主题：新媒体课程需求调研（董先生）
会议时间：2026年7月7日 15:00 - 15:32（约32分钟）
参会人：唐文莉(糖心莉)、董先生
会议号：615738176
===========================================================================

[00:30] 董先生：那是之前你知道？系系。

[00:32] 唐文莉(糖心莉)：哈喽哈喽董老师下午好！那个不好意思耽误你一点时间，然后继续一下我们昨天晚上的那个话题。主要是四营的时候有一个新媒体的课程，想请您给一些课程的一些需要解决的问题啊，或者说课程方向的一些建议啊，大概是这样啊。

[00:36] 董先生：哎，你好你好哎！But.

[00:55] 董先生：嗯嗯，好的好的。

[00:57] 唐文莉(糖心莉)：我快点完成哈，然后哎，好帅呀（笑声）。昨天看了一下你那个视频号的一些内容，我觉得还是比较成熟的。

[01:03] 董先生：呵呵。

[01:12] 唐文莉(糖心莉)：应该做了很久了吧？

[01:15] 董先生：嗯。我我视频号，其实我这我我之前是主要做抖音，我后面做视频号的时候呢，我就是打的那个矩阵嘛，最开始呃一个一个号可以拖好几个号，这样玩的，呃，就没出镜的，后面就最近开始说可能要呃露一下脸，打一下这个熟悉度才开始拍一下露脸。

[01:30] 唐文莉(糖心莉)：啊。嗯嗯。嗯嗯嗯哎，您刚才说矩阵，您现在的矩阵式大概是怎么设计的？

[01:46] 董先生：现在没没怎么做，以前是那个账号，不是以前不是一个视频号，可以授权5个账号吗？那我每次拍一套房子呢，就拍，拍两遍，拍两遍呢，就可以发十几个账号，然后我们有一个软件就一键批发就发十几个账号，就一个人就运营10来个账号这样做。

[01:52] 唐文莉(糖心莉)：对。现现现在呢，就基本上你是主营哪哪几个账号？

[02:15] 董先生：现在这个视频号我就做这一个了，就做这一个了就没。

[02:20] 唐文莉(糖心莉)：就是微信的视频号是吗？

[02:22] 董先生：对对对，然后呃在做这个之前就是做小红书，做小红书，当时是还可以拿到一些结果，吃到一些红利，但现在也感觉有点。

[02:27] 唐文莉(糖心莉)：就是微信的视频号是吗？嗯嗯。呃，那现在的话小红书是有间隔在发还是说完全不运营了？

[02:42] 董先生：有在发，也有成交，就一直有成交，只是说没有之前那么多了。像现在可能一个月，呃，像我个人的账号我也有在做嘛，一个月就那么一套，有时候两套。同事们可能有时候两个月一套。就反正刚开始做的时候一个月卖5套，一个月卖5套，那时候就感觉就很好做。现在也有在做。

[03:07] 唐文莉(糖心莉)：咱咱们现在的城市的这个市场情况，咱们门店的一个完业绩完成情况大概怎么样？

[03:16] 董先生：嗯，在我们这个区域基本上是比较靠前嘛，就是前几吧就是嗯。

[03:23] 唐文莉(糖心莉)：嗯嗯嗯嗯嗯嗯嗯哎，那还不错啊，感觉这个新媒体好像或者自媒体好像流量没有以前那么高了之后，其实现在好像完成的业绩还不错，是不是影响其实比较小？

[03:37] 董先生：业绩其实可能跟市场也有关系，就是我们业绩明显感觉是不如以前，但是整体如果在在我们这个区域看我们的市场占比，就整体的业绩，我们一直都可能都是排在前三或者前五以内吧，就就但是业绩你看。

[03:56] 唐文莉(糖心莉)：嗯嗯。

[03:59] 董先生：如果是去年，前年我们到这半年可能都拿了几次百万，到现在今年还没有突破过百万，就是业绩下滑还是严重。

[04:09] 唐文莉(糖心莉)：嗯嗯，了解。嗯哎，那那之前这个自媒体好像还比较好做的时候应该获得了不少流量哈，然后呃也有一些转化，那现在虽然说可能业绩没有以前那么好，但是呢这个自媒体好像也没有让你们的业绩多落后，至少在同样的市场水平之下还保持在前列哈。就是想问一下哎，咱们现在您您门店是有除了自媒体之外的一些渠道的补充吗？

[04:42] 董先生：现在除了自媒体就商机，就贝壳商机。

[04:46] 唐文莉(糖心莉)：啊，贝壳商机现在是贝壳商机占占主导了是吗？

[04:50] 董先生：嗯，也不是，其实还是自媒体还是占了大部分吧。然后现在我们慢慢的开始去重视这些事，以前你说自媒体来客快都不重视商机，现在也开始要重视一下商机。

[04:51] 唐文莉(糖心莉)：有没有。

[05:03] 唐文莉(糖心莉)：嗯嗯。

[05:07] 董先生：Than.

[05:08] 唐文莉(糖心莉)：重视一下商机的意思是，嗯，流量没有那么大了，所以每个来的商机都要比以前更好的去服务是吗？

[05:16] 董先生：嗯，差不多是这意思吧。就是现在我们也也发现你看以前就是你客户多嘛，你就挑客嘛，你你今天约不出来你我我就不约了，我反正还有下一个约下一个带看，那现在可可能跟这个服务也有关系，就是我们可能对待一个客户更执着了，今天约不出，明天再试一下，后天再试一下，换人再试一下。

[05:21] 唐文莉(糖心莉)：嗯。嗯。嗯嗯嗯嗯嗯。嗯。嗯嗯嗯，了解了解。嗯，哎，那以前您在探索自媒体流量比较好的时候，那个时候应该是自己摸索出来了一条路，那现在的话可能遇到了瓶颈之后，现在您对自媒体的那种就是专注做下去的这种坚持啊、信心啊，还还是有吗？还是说您其实觉得哎，好像也就那样，我现在正常来做就行了，就是想问一下您对于这个新媒体学习的这个意愿和需求大概是一个什么样情况，就这个阶段。

[06:20] 董先生：有，我我现在最近我都在研究市面上的这个，就7月份本来也准备出去去报其他课程，就是自媒体的课去学一下，或者是找一个呃老师指导一下陪跑，呃，但是后来了解了一下，反正这些老师感觉教的那些东西，以前就特别就像我这个阶段呢，就是很矛盾，他又又以前有做过，现在呢感觉有点瓶颈。

[06:31] 唐文莉(糖心莉)：嗯。嗯嗯。嗯。嗯。嗯嗯。

[06:52] 董先生：然后想去报那些老师呢，你跟他深入交流一下，好像他教的也都是比较浅的那些东西，然后就没去。你说深的东西呢，暂时现在还没有找到那种，这自己也在探索，就是我自己看来看的话，现在可能就是做一些。

[06:57] 唐文莉(糖心莉)：嗯嗯嗯嗯。嗯。嗯。

[07:08] 董先生：呃，帮客户做决策啊，然后做评测啊，可能做这种，做这种东西可能会有，但是不确定行不行，现在我准备去尝试，开始往这个赛道去去尝试了。

[07:12] 唐文莉(糖心莉)：嗯。嗯。嗯。嗯嗯，诶，您确实就是因为您这个新媒体是走在应该是走在前面的，对吧？所以你现在其实遇到了一些瓶颈。昨天我还问了一个店东，他说他现在对于课程的需求就是能够手把手教他完成这个视频内容的一个拍摄，感觉就是非常好的了，因为他还没有开启这个，就是没有完全开启这个自媒体或者说视频号的这个运营。所以我理解的是他应该是在你的第一个阶段，但是你已经到了第二个阶段了。然后我不知道我理解对不对哈，就是第二阶段，其实您遇到的是内容的这个瓶颈了，是。

[08:03] 董先生：对对对。

[08:03] 唐文莉(糖心莉)：嗯。现在这个对内容的瓶颈，其实更多的是想从客户的这个角度来看看我的内容是怎么来生产什么，还是其他的。

[08:15] 董先生：我大概给你讲一下，就我做号的一个情况。就最开始做号就做抖音，那时候在21年21年呢，可能就刚好是吃到红利，那时候呢比较少人做，然后呢自己就做口播，然后做一些直播，没什么人做就吃到红利。那时候呃，反正也天天蹲在各个地方去学嘛，学了之后就感觉哎就大大概的探索出来哦，原来这样玩就可以获客，这样玩就可以有流量。

[08:19] 唐文莉(糖心莉)：嗯。嗯嗯。嗯。嗯。嗯。

[08:49] 董先生：那这个东西呢就很容易复制，后来呢我我同样的方法复制起新号或者有新同事来了，我就让他按照这个方法就很快就可以起来。到后再后来呢就感觉抖音流量分散嘛，那时候就呃就接触到那个视频号，玩矩阵，一个人可以玩几十个账号。哎，那我们这样玩流量虽然不大，但是也可以啊，你每天就就做发一个视频就运营好啊，每天就看有客户进线，有客户进线。后来呢就做小红书，做了小红书之后啊，就就不再去做抖音，不去做直播了。

[08:55] 唐文莉(糖心莉)：嗯。嗯。嗯。

[09:10] 唐文莉(糖心莉)：嗯。嗯嗯。

[09:22] 董先生：就感觉太太简单了，哎呀，获客也快，成交也快，就就不想那么累了。然后现在突然感觉小红书也很卷，而且呢，现在可能因为AI的一些东西出来，客户获取的信息很多，或者做的人也很多了，客户分散了，不再集中在某些。就以前你刚做的时候，可能你一个人一天可以获很多客啊，一个小团队都够用。现在的话客户就分散，只要你努力都能获得客，他不会集中在某一个人身上。但是你像对于我这个阶段我就想。

[09:26] 唐文莉(糖心莉)：嗯嗯。嗯嗯。嗯嗯。

[09:57] 董先生：哎，怎么去突破，或者说找回那种呃获客多一点的这种，或者说可复制的。就现在也用一些方法，就是就是正常这样发，你有时候你可能看我视频号，我就是正常这样发，也会有一些咨询，有一些成交，但是如果我复制到给同事。

[10:15] 董先生：他可能就不行啊，他这他也这样拍，他也这样发可能就不行。但是就是需要做这个事儿呢，可能需要持续持续去，但是给同事去复制的时候，他可能会觉得。

[10:16] 唐文莉(糖心莉)：嗯嗯。

[10:29] 董先生：哎呀，好像也没啥流量，没啥咨询，坚持半个半个月，一个月他就不想坚持了。钱呢，我们做新媒体就是你只要过来我一个星期绝对给你搞的播放量很高，他就很有信心，有没有客户很有信心。现在我们也搞不到高流量啊，或者高客资，就对同事来说，你你复制下去感觉就难，你告诉他这个深耕有用。

[10:30] 唐文莉(糖心莉)：嗯嗯。嗯嗯。嗯嗯嗯嗯。

[10:53] 董先生：啊，他有点不信，你还没做出来，就是大概这种情况。

[10:55] 唐文莉(糖心莉)：嗯嗯嗯嗯，好哎，那你你刚才聊到，其实你是比较在意这个团队的复制嘛，能力的复制。那如果说今天这门课就是……你说到能力的复制，然后也说到好像你自己要跑出来，要先跑出来。那现在这个阶段如果学习的话，你是更希望获得，比如说自己怎么先去跑出来，或者说趟出一个新的自媒自媒体的玩法，呃，这是一个。然后还是第二个就是怎么好像教你的团队的其他的小伙伴也能让他们坚持，或者说让他就是能够有一些自己的运营方式方法坚持下去，就是这两者在自己和团队之间，你会更想要去做哪一方面的一个突破。

[11:44] 董先生：先把自己跑出来，这个很重要，就是（笑声）。对我做那么久，其实就是看到这些人，嗯，大部分人都是先看到才相信，他看到你做出来他他来跟你学啊。你你告诉他这个方法可行，他不做的，这是肯定的。

[11:46] 唐文莉(糖心莉)：嗯嗯。嗯。嗯。嗯嗯嗯嗯嗯。嗯嗯。嗯嗯嗯嗯，好嗯哎，那你刚才说你你自己要做出做出来嘛，你现在对于自己在第二个阶段新媒体要做出来，你大概会有哪些方向和理解吗？

[12:15] 董先生：就怎么做出来？

[12:17] 唐文莉(糖心莉)：对，就是你大概比如说第一个阶段，你是跑通嘛，或者说我一个人玩十几个账号先玩起来。那现在的话好像到了第二个阶段，你又好像比较聚焦了，聚焦在小红书那边。就是在第二个阶段，就是你想好像能够在自己在自媒体上收获一些什么，你你有一些大概的想法。

[12:25] 董先生：就怎么做出来？

[12:37] 唐文莉(糖心莉)：就是大概的方向吗？就怎么才能称作你自己能够跑出来，想学一些什么样的内容？

[12:46] 董先生：嗯，就是你起码就是持续持续的获客持续的成成交吧，我觉得这样才算是跑出来吧，就你这个这个方法这样做。

[12:59] 董先生：呃，就最重要还是获客跟成交，我觉得会比较重要。

[13:02] 唐文莉(糖心莉)：这是一个结果嘛。就比如说有些小伙伴他会说，呃，他以前玩抖音或者是视频号，但是他现在会发现，唉，小红书一个是一个比较好的一个渠道，他想把小红书做出来，但是你呢好像每个渠道都有涉及，对吧，也都在探索。所以现在你的这个方向大概是什么？就是才能拿到你刚才所说的这样的一个结果。

[13:30] 董先生：哦，其实是这样的，就是我之前比如说，呃，到现在明显感觉到现在的市场呢，就是呃，就好像我们团队啊，其实你说客户呢，他陆续的也都会有一些啊，就是在整个区域来看，我们的获客也是最多的了，算是就各个渠道获客最多的，但是转化率就变低了。就我现在呃，感觉为什么会出现这个问题呢？就是第一个可能跟我们的啊，当然这个服务水平有关系，第二个可能跟这个市场也有关系。

[14:12] 董先生：现在他要因为我们做的都是这种不露脸的视频啊，不露脸的视频呢，没有什么人设。一个客户加了你的微信或者跟你产生了咨询，嗯，他对他只是咨询，他其实对后期的成交没有什么帮助。所以我现在想做的呢，就是呃人设类的，就是要展现出来你这个人啊，从销售产品可能到销售人吧，就是我现在想探索这个。所以我现在从呃不出不露脸，不出镜，到现在开始尝试去露脸出镜，然后尝试做一些这个……

[14:43] 唐文莉(糖心莉)：嗯。嗯嗯。

